Token,Cantidad
the,1237369
of,515016
and,479691
in,438212
to,404173
a,336027
was,221725
s,149343
as,140313
on,139485
for,136739
that,134077
by,122394
with,118836
his,112427
he,102192
at,92205
from,87159
were,79223
is,77504
it,73603
had,72067
an,62541
which,55093
be,45884
but,44387
not,42023
this,41675
their,39577
after,38471
first,37778
are,36508
her,35835
have,35439
its,35072
one,34399
been,34397
they,33909
or,32704
two,32686
who,31924
also,31921
would,28148
when,27769
during,26761
other,25579
time,24912
she,24856
new,24380
has,24001
more,23911
into,23112
him,21464
over,21205
only,20623
all,20519
most,20515
than,20404
later,19996
between,19081
while,18734
about,18609
1,18471
years,18023
three,17832
there,17822
some,17464
year,17035
may,16887
000,16831
no,16452
made,16350
before,16060
such,16055
became,15525
many,15291
i,15233
up,15160
out,15062
these,14865
both,14000
them,13664
where,13565
including,13544
although,13281
2,13241
used,13205
several,12913
early,12828
then,12715
against,12595
did,12566
could,12536
through,12440
under,12433
second,12374
known,12162
part,12007
until,11811
began,11681
